additional_trackers,alias,discord_id,discord_name,is_franchise_manager,is_free_agent,is_general_manager,is_non_playing,is_retired,league,main_trackerurl,rating,salary,team,tracker_name
,,,SH_Zoro2,False,False,False,False,False,,https://rocketleague.tracker.network/rocket-league/profile/epic/YT-xKuRupTx/mmr?playlist=11,,18.0,Chupacabra,YT-xKuRupTx
,,,Thunder,False,False,False,False,False,,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198170852045/mmr?playlist=11,,18.0,Chupacabra,Thunder
,,,CxL,False,False,False,False,False,,https://rocketleague.tracker.network/rocket-league/profile/epic/NotCxL%20./overview,,17.5,Chupacabra,NotCxL
,,,Wolfie,False,False,False,False,False,,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198818226750/mmr?playlist=11,,17.5,Chupacabra,Wolfie
,,,Cryo,False,False,False,False,False,,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198189494186/mmr?playlist=13,,17.0,Chupacabra,Cryo
,,,Hader,False,False,False,False,False,,https://rocketleague.tracker.network/rocket-league/profile/steam/76561199020038309/mmr?playlist=11,,16.0,Chupacabra,Hader
,,,Just RUG o,False,False,False,False,False,,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198307221890/mmr?playlist=11,,16.0,Chupacabra,Just RUG o
,,,mykopolis,False,False,False,False,False,,https://rocketleague.tracker.network/rocket-league/profile/steam/mykopolis/mmr?playlist=13,,15.5,Chupacabra,myko
,,,Bruhdder,False,False,False,False,False,,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198062406016/mmr?playlist=13,,15.5,Chupacabra,Bruhdder. ;)
,,,Mr. Clean,True,False,False,False,False,,https://rocketleague.tracker.network/rocket-league/profile/epic/TheMrClean./mmr?playlist=13,,15.0,Chupacabra,TheMrClean.
,,,Kryptyik,False,False,False,False,False,,https://rocketleague.tracker.network/rocket-league/profile/steam/76561199020809150/overview,,14.5,Chupacabra,Kryptyik
,,,TheSaucyBandit,False,False,True,False,False,,https://rocketleague.tracker.network/rocket-league/profile/epic/TheSaucyBandit/mmr?playlist=13,,13.5,Chupacabra,TheSaucyBandit
,,,Boombob,False,False,False,False,False,,https://rocketleague.tracker.network/rocket-league/profile/epic/boombob_/mmr?playlist=13,,13.5,Chupacabra,Boombob
,,,Robzzz,False,False,False,False,False,,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198073799186/mmr?playlist=11,,13.5,Chupacabra,Robzzz
,,,JumpshotATL,False,False,False,False,False,,https://rocketleague.tracker.network/rocket-league/profile/epic/jumpshot%20atl/mmr?playlist=11,,12.5,Chupacabra,Jumpshot ATL
,,,SpongeBob,False,False,False,False,False,,https://rocketleague.tracker.network/rocket-league/profile/epic/Spongebob85236/mmr?playlist=11,,12.0,Chupacabra,Spongebob85236
,,,Animethighinspector,False,False,False,False,False,,https://rocketleague.tracker.network/rocket-league/profile/epic/AnimeThighs0626/mmr?playlist=11,,11.0,Chupacabra,AnimeThighs0626
,,,YenYen,False,False,False,False,False,,https://rocketleague.tracker.network/rocket-league/profile/epic/YenYen36/mmr?playlist=13,,11.0,Chupacabra,YenYen36
,,,YoshiWanKenobi,False,False,False,False,False,,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198103341447/mmr?playlist=11,,10.5,Chupacabra,YoshiWanKenoi
,,,Kicker_1,False,False,False,False,False,,https://rocketleague.tracker.network/rocket-league/profile/epic/K1cker_1/mmr?playlist=13,,10.0,Chupacabra,K1cker_1
,,,Aryba,False,False,False,False,False,,https://rocketleague.tracker.network/rocket-league/profile/epic/Aryba./mmr?playlist=11  https://rocketleague.tracker.network/rocket-league/profile/epic/Budget_Evample/overview,,17.0,Eternal,Aryba.
,,,RaunchyRomanian,False,False,False,False,False,,https://rocketleague.tracker.network/rocket-league/profile/epic/RaunchyRomanian/mmr?playlist=11,,16.5,Eternal,RaunchyRomanian
,,,ItalianGini,False,False,False,False,False,,https://rocketleague.tracker.network/rocket-league/profile/epic/ItalianGini1/mmr?playlist=11,,16.0,Eternal,ItalianGini1
,,,Exile,False,False,False,False,False,,https://rocketleague.tracker.network/rocket-league/profile/epic/SimoAspe/mmr?playlist=11,,15.0,Eternal,SimoAspe
,,,Marty112,False,False,False,False,False,,https://rocketleague.tracker.network/rocket-league/profile/epic/shazam_379/mmr?playlist=11,,14.0,Eternal,shazam_379
,,,DZ,False,False,False,False,False,,https://rocketleague.tracker.network/rocket-league/profile/epic/DZ-.-/overview,,13.5,Eternal,DZ
,,,xExileDxTyr,False,False,False,False,False,,https://rocketleague.tracker.network/rocket-league/profile/epic/xExileDxTyr/mmr?playlist=13,,13.0,Eternal,xExileDxTyr
,,,ItzxdKilla-_-,False,False,True,False,False,,https://rocketleague.tracker.network/rocket-league/profile/epic/ItzxdKilla-_-/overview,,12.5,Eternal,ItzxdKilla-_-
,,,Avid,False,False,False,False,False,,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198311357127/mmr?playlist=11,,11.5,Eternal,Avid
,,,xOZZY3609x,False,False,False,False,False,,https://rocketleague.tracker.network/rocket-league/profile/epic/xXOZZY3609Xx/mmr?playlist=13,,11.5,Eternal,xXOZZY3609Xx
,,,ImaJynn,False,False,False,False,False,,https://rocketleague.tracker.network/rocket-league/profile/steam/76561199031100222/mmr?playlist=13,,11.0,Eternal,ImaJynn
,,,Semi_Stupid,False,False,False,False,False,,https://rocketleague.tracker.network/rocket-league/profile/epic/TTV%20Semi_Stupid/overview,,11.0,Eternal,TTV Semi_Stupid
,,,Dohi,False,False,False,False,False,,https://rocketleague.tracker.network/rocket-league/profile/epic/Dohi%20whiffs/mmr?playlist=11,,11.0,Eternal,Dohi whiffs
,,,ItsFlowZa,False,False,False,False,False,,https://rocketleague.tracker.network/rocket-league/profile/epic/ItsFlowZa/overview,,10.0,Eternal,ItsFlowZa
,,,Munchy,False,False,False,False,False,,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198128277117/mmr?playlist=11,,17.0,Killer Clowns,Munchy
,,,Hollow,False,False,False,False,False,,https://rocketleague.tracker.network/rocket-league/profile/steam/76561199092627298/mmr?playlist=11 https://rocketleague.tracker.network/rocket-league/profile/steam/76561198912684473/overview,,16.5,Killer Clowns,RIP GOOBA
